category	known	lost	subcategory
ritual_noun	['mnHh', 'mnHt', 'mnHwt']	mnHt	offering
ritual_noun	['_']	qTr	incense
ritual_noun	['<&r']	<$r	tithe
ritual_noun	['<&rh', '<&rt', '<&rwt']	<$rt	tithe
ritual_noun	['_']	<lt	offering_burnt
ritual_noun	['m<lh', 'm<lt', 'm<lwt']	m<lt	offering_burnt
sacred_place	['hykl']	hkl	temple
sacred_place	['bhykl']	bhkl	temple
sacred_place	['hyklh', 'hyklw']	hklh	temple
sacred_place	['hyklk']	hklk	temple
sacred_place	['hykly']	hkly	temple
sacred_place	['bt', 'byt']	bt	house_temple
sacred_place	['qbr']	qbr	grave
sacred_place	['bqbr']	bqbr	grave
sacred_place	['wyqbr']	wyqbr	grave
sacred_place	['yqbr']	yqbr	grave
sacred_place	['_']	bmh	high_place
sacred_place	['lm$knm', 'lm$knthm', 'lm$knwthm']	lm$knthm	tabernacle
sacred_place	['mqd$']	mqd$t	sanctuary
theology_adj	['qd$']	qd$	holy
theology_adj	['qd$ym']	qd$m	holy
theology_adj	['qd$h', 'qd$t', 'qd$wt']	qd$t	holy
theology_adj	['tqd$']	tqd$	holy
theology_adj	['Thr', 'Thwr']	Thr	pure
theology_adj	['Thrym', 'Thwrym']	Thrm	pure
theology_adj	['Sdyq']	Sdq	righteous
theology_adj	['Sdqh', 'Sdqw', 'Sdyqh', 'Sdyqw']	Sdqh	righteous
theology_adj	['Twb']	Tb	good
theology_adj	['r<']	r<	evil
theology_adj	['kbd']	kbd	glorious
theology_adj	['kbdy']	kbdy	glorious
theology_adj	['ykbd']	ykbd	glorious
theology_noun	['np$']	np$	soul
theology_noun	['np$h', 'np$w']	np$h	soul
theology_noun	['np$y']	np$y	soul
theology_noun	['np$ym']	np$m	soul
theology_noun	['rwH', 'ryH']	rH	spirit
theology_noun	['Hy']	Hy	life
theology_noun	['Hyym']	Hym	life
theology_noun	['mt']	mt	death
theology_noun	['_']	Ht	sin
theology_noun	['$m']	$m	name_heaven
theology_noun	['$mym']	$mm	name_heaven
theology_noun	['$lm', '$lwm']	$lm	peace
theology_noun	['$lmk', '$lwmk']	$lmk	peace
theology_noun	['$lmym']	$lmm	peace
theology_noun	['y$lm']	y$lm	peace
theology_noun	['Hnn']	Hnn	grace
theology_noun	['Hnny']	Hnny	grace
theology_noun	['rHm']	rHm	compassion
theology_noun	['brHm']	brHm	compassion
theology_noun	['mHmd']	mHmd	desire
theology_noun	['Hlq']	xlq	portion
theology_noun	['yHlq']	yxlq	portion
theology_noun	['_']	<nn	cloud
theology_noun	['rkb']	rkb	chariot
theology_noun	['mrkbh', 'mrkbt', 'mrkbwt']	mrkbt	chariot
high_risk	['yld']	yld	birth
high_risk	['wyld']	wyld	birth
high_risk	['yldy']	yldy	birth
high_risk	['bkwrym']	bkrm	firstborn
high_risk	['bkwrk']	bkrk	firstborn
high_risk	['_']	<qr	barren
high_risk	['qSr']	qSr	harvest
high_risk	['zr<']	dr<	seed
high_risk	['zr<', 'zrw<']	*r<	seed
high_risk	['mzr<']	mdr<	seed
high_risk	['tzr<']	tdr<	seed
high_risk	['Sd']	Sd	field
high_risk	['&dh', '&dhw']	$dh	field
high_risk	['krm']	krm	vineyard
high_risk	['krmym']	krmm	vineyard
high_risk	['gpn']	gpn	vine
high_risk	['gpnym']	gpnm	vine
high_risk	['_']	$bl	grain
high_risk	['$blt']	$blt	grain
high_risk	['yyn']	yn	wine
high_risk	['$mn']	$mn	oil
high_risk	['$mny']	$mny	oil
high_risk	['mTr']	mTr	rain
high_risk	['mTrh', 'mTrw']	mTrh	rain
high_risk	['t<l']	t<l	dew
high_risk	['wt<l']	wt<l	dew
high_risk	['nHl']	nHl	inheritance
high_risk	['nHlh', 'nHlw']	nHlh	inheritance
high_risk	['nHlty']	nHlty	inheritance
high_risk	['alp']	alp	ox
high_risk	['$wr']	vr	bull
high_risk	['<gl']	<gl	calf
high_risk	['<glh', '<glt', '<glwt']	<glt	calf
high_risk	['<glym']	<glm	calf
high_risk	['<wz']	<z	goat
high_risk	['_']	$h	sheep
high_risk	['Hmwr']	Hmr	donkey
high_risk	['Hmwrym']	Hmrm	donkey
high_risk	['lHm']	lHm	bread_war
high_risk	['ylHm']	ylHm	bread_war
high_risk	['tlHm']	tlHm	bread_war
high_risk	['mlHmh', 'mlHmt', 'mlHmwt']	mlHmt	war
high_risk	['drk', 'dwrk']	drk	journey
high_risk	['_']	rpan	healing
high_risk	['anyh', 'anyt', 'anywt']	anyt	sea
high_risk	['any']	any	sea
deity_name	['<&r']	<$r	fertility_goddess
deity_name	['<&rym']	<$rm	fertility_goddess
deity_name	['<&rh', '<&rt', '<&rwt']	<$rt	fertility_goddess
deity_name	['Hrn']	Hrn	underworld_deity
deity_name	['_']	$dy	divine_epithet
deity_name	['<lh']	<ly	divine_epithet
ritual_verb	['ntn']	ntn	give
ritual_verb	['ytn']	ytn	give
ritual_verb	['ttn']	ttn	give
ritual_verb	['$m']	$m	place
ritual_verb	['yrwm']	yrm	exalt
theology_noun	['_']	brt	covenant
theology_noun	['m$pT']	mvpT	judgment
theology_noun	['m$pTk']	mvpTk	judgment
ritual_noun	['dm']	dm	blood
ritual_noun	['_']	dmm	blood
ritual_noun	['a$']	i$t	fire
ritual_noun	['mym']	mym	water
sacred_place	['hr']	hr	mountain
sacred_place	['<S']	<S	tree
sacred_place	['<Sym']	<Sm	tree
sacred_place	['abn']	abn	stone
sacred_place	['<yn']	<n	spring
sacred_place	['nhr']	nhr	river
sacred_place	['nhrym']	nhrm	river
theology_noun	['kws']	ks	throne
theology_noun	['ksa']	ksa	throne
theology_noun	['$r', '$yr', '&r']	$r	prince
theology_noun	['$yrym', '&rym']	$rm	prince
theology_noun	['<m']	<m	people
ritual_verb	['zmr']	*mr	sing
ritual_verb	['zmwrh']	azmr	sing
ritual_verb	['wyzmr']	wy*mr	sing
ritual_noun	['tp']	tp	drum
theology_noun	['Hlm', 'Hlwm']	Hlm	dream
theology_noun	['ab']	ab	father
theology_noun	['am']	um	mother
theology_noun	['bn', 'byn']	bn	son
theology_noun	['bt', 'byt']	bt	daughter
theology_noun	['aH']	ax	brother
theology_noun	['yd']	yd	hand
theology_noun	['ydm']	ydm	hand
theology_noun	['lb']	lb	heart
theology_noun	['_']	<yn	eye
theology_noun	['ph']	p	mouth
ritual_verb	['qra']	qra	call
ritual_verb	['yqra']	yqra	call
ritual_verb	['$m<']	$m<	hear
ritual_verb	['y$m<']	y$m<	hear
theology_noun	['qwl']	ql	voice
